ID,RA,DEC,FIELDNAME,flux_aper_f606W,fluxerr_aper_f606W,sigma_aper_f606W,local_depth_f606W,auto_corr_factor_uv,unmasked_f606W,flux_aper_f814W,fluxerr_aper_f814W,sigma_aper_f814W,local_depth_f814W,unmasked_f814W,flux_aper_f090W,fluxerr_aper_f090W,sigma_aper_f090W,local_depth_f090W,auto_corr_factor_f090W,unmasked_f090W,flux_aper_f115W,fluxerr_aper_f115W,sigma_aper_f115W,local_depth_f115W,auto_corr_factor_f115W,unmasked_f115W,flux_aper_f150W,fluxerr_aper_f150W,sigma_aper_f150W,local_depth_f150W,auto_corr_factor_f150W,unmasked_f150W,flux_aper_f200W,fluxerr_aper_f200W,sigma_aper_f200W,local_depth_f200W,auto_corr_factor_f200W,unmasked_f200W,flux_aper_f277W,fluxerr_aper_f277W,sigma_aper_f277W,local_depth_f277W,auto_corr_factor_f277W,unmasked_f277W,flux_aper_f335M,fluxerr_aper_f335M,sigma_aper_f335M,local_depth_f335M,auto_corr_factor_f335M,unmasked_f335M,flux_aper_f356W,fluxerr_aper_f356W,sigma_aper_f356W,local_depth_f356W,auto_corr_factor_f356W,unmasked_f356W,flux_aper_f410M,fluxerr_aper_f410M,sigma_aper_f410M,local_depth_f410M,auto_corr_factor_f410M,unmasked_f410M,flux_aper_f444W,fluxerr_aper_f444W,sigma_aper_f444W,local_depth_f444W,auto_corr_factor_f444W,unmasked_f444W,zbest,zbest_u1,zbest_l1,chi2_best,pdf_integral,zbest_lowz,zbest_lowz_u1,zbest_lowz_l1,chi2_best_lowz,M_UV,M_UV_u1,M_UV_l1,SFR_UV,SFR_UV_u1,SFR_UV_l1,BETA_UV,BETA_UV_u1,BETA_UV_l1,EPOCHS_II,EPOCHS_III,EPOCHS_IV,certain_by_eye,stellar_mass_pipes_zgauss,stellar_mass_pipes_l1_zgauss,stellar_mass_pipes_u1_zgauss,redshift_pipes_zgauss,redshift_pipes_l1_zgauss,redshift_pipes_u1_zgauss,sfr_100Myr_pipes_zgauss,sfr_100Myr_pipes_l1_zgauss,sfr_100Myr_pipes_u1_zgauss,sfr_10Myr_pipes_zgauss,sfr_10Myr_pipes_l1_zgauss,sfr_10Myr_pipes_u1_zgauss,mass_weighted_age_pipes_zgauss,mass_weighted_age_pipes_l1_zgauss,mass_weighted_age_pipes_u1_zgauss,beta_pipes_zgauss,beta_pipes_l1_zgauss,beta_pipes_u1_zgauss,A_V_pipes_zgauss,A_V_pipes_l1_zgauss,A_V_pipes_u1_zgauss,Zstar_pipes_zgauss,Zstar_pipes_l1_zgauss,Zstar_pipes_u1_zgauss,U-V_pipes_zgauss,U-V_pipes_l1_zgauss,U-V_pipes_u1_zgauss,M_UV_pipes_zgauss,M_UV_pipes_l1_zgauss,M_UV_pipes_u1_zgauss,chisq_phot_pipes_zgauss,stellar_mass_pipes_zfix,stellar_mass_pipes_l1_zfix,stellar_mass_pipes_u1_zfix,input_redshift_pipes_zfix,sfr_100Myr_pipes_zfix,sfr_100Myr_pipes_l1_zfix,sfr_100Myr_pipes_u1_zfix,sfr_10Myr_pipes_zfix,sfr_10Myr_pipes_l1_zfix,sfr_10Myr_pipes_u1_zfix,mass_weighted_age_pipes_zfix,mass_weighted_age_pipes_l1_zfix,mass_weighted_age_pipes_u1_zfix,beta_pipes_zfix,beta_pipes_l1_zfix,beta_pipes_u1_zfix,A_V_pipes_zfix,A_V_pipes_l1_zfix,A_V_pipes_u1_zfix,Zstar_pipes_zfix,Zstar_pipes_l1_zfix,Zstar_pipes_u1_zfix,U-V_pipes_zfix,U-V_pipes_l1_zfix,U-V_pipes_u1_zfix,M_UV_pipes_zfix,M_UV_pipes_l1_zfix,M_UV_pipes_u1_zfix,chisq_phot_pipes_zfix
3652_JADES-Deep-GS,53.18209273510215,-27.818162683635688,JADES-Deep-GS,4.0311842067553565,1.8467099877115798,1.7636362843766338,28.986578244097316,1.2245295889315577,true,,,,,false,13.507404,1.3507404,11.562893,29.814312,1.2245295889315577,true,28.987007,2.8987007,30.607624,29.995642,1.0,true,28.139069,2.813907,31.04781,30.022379,1.0,true,23.480734,2.3480732,27.293148,30.06103,1.0,true,27.307007,2.7307005,39.501015,30.37351,1.0,true,25.114988,2.511499,21.289572,29.87876,1.0,true,56.38283,5.6382833,71.170425,30.313057,1.0,true,16.836838,1.6836838,12.995686,29.778023,1.0,true,30.798376,3.0798376,34.06117,30.168903,1.0,true,6.5013285,0.042519093,0.09161043,9.628865,1.0,0.11734195,0.014142439,0.017672457,51.382507,-19.09789008732592,0.12448030812290511,0.0977956571936609,2.2447741450352554,0.2423682145684638,0.1872544687948099,-2.2874816364662087,0.3249647728965839,0.29043546028583833,false,true,true,true,7.561999826288889,0.07771597054542845,0.07610907583829896,6.449811434078212,0.07822444315460686,0.0653082972588086,0.37901110712589203,0.06399960683459543,0.07610222821688778,3.345327479010166,0.4390528664251483,0.5783379742614172,0.0038848912641657905,0.0012850368940703922,0.002312148777066871,-2.212423620833757,0.09550653727447234,0.09528199243159996,0.1954850178678401,0.0689085433089483,0.08738025769812832,0.1952954700627757,0.057373833534020674,0.088054920134991,0.26131165268878576,0.1105775194017059,0.10679695776758397,-19.080537523621278,0.08203344028554937,0.09042568780315818,6.106292048494188,7.540829062232886,0.0639337282982888,0.08687599290577896,6.5013285,0.4405637776233271,0.05107521911137625,0.08555176697984157,4.048959253257555,0.42559525924107966,0.5011509463245178,0.0035776336758374756,0.0012256151661918248,0.002271318795177473,-2.2325069232585664,0.0856124137592893,0.10002245976603907,0.18010842968754204,0.07046857037291811,0.07439702413950872,0.1765302361625578,0.048038050668955834,0.09427674440780603,0.24860160131723585,0.10580502931549526,0.10167008860281562,-19.120176035975778,0.06413955419670359,0.0670864651985319,6.0288520209964105
3285_CEERSP3,214.8384885189568,52.885200941256485,CEERSP3,4.83706958572529,2.4886704847610277,1.5703267087016775,28.66265649625606,3.9358761188873292,true,-2.2175537540769485,3.2266670013579493,2.8264795808557054E-28,28.380689620068367,true,,,,,0.0,false,26.648941,2.664894,9.601133,28.828182,3.9358761188873292,true,41.17476,4.1174755,14.4038315,28.775192,4.510640894482199,true,71.40173,7.140174,33.278603,29.068815,3.4383593241170165,true,144.52519,14.452519,77.89146,29.301542,2.8654062478632456,true,,,,,0.0,false,261.6538,26.16538,128.14455,29.285109,2.688603703102107,true,225.56851,22.55685,52.75738,28.481688,2.663964977329524,true,331.8368,33.183678,110.72621,28.86789,2.604092995336798,true,6.5016174,0.06614113,0.35142326,9.099522,0.9970885673187773,1.808304,4.044102,0.11330962,13.987605,-18.920598853292134,0.11203516352797038,0.10067473155638496,91.87617972387645,47.015339585831384,30.436014637537625,-0.1980779688868779,0.275930257698922,0.25339825186381765,false,false,true,false,9.77726352266014,0.25490100094003765,0.19091075733155094,6.647578697564386,0.3438306118059202,0.07548245792349828,60.83642510134747,24.800631363979306,21.507084208877302,163.24880384806892,71.72293095532406,42.562242892414616,0.040725785757809836,0.025625113901743893,0.06145786275127733,-0.2302744305173895,0.16579053752043765,0.11321100129379662,1.9484973810674306,0.16261036601627477,0.09930941855193742,0.001461433942422967,0.0014505316875348224,0.44666931758091993,0.8469387732066136,0.06250840245205003,0.06886506059890962,-19.019925381759286,0.09589319320498646,0.18757088023738788,5.6587017773346,10.379867401342404,0.024157203018365436,0.06971640513107324,6.5016174,0.0,0.0,0.0012964443078816645,0.0,0.0,5.277467804507637E-4,0.6694499918291144,0.060474280512869516,0.11370844289692184,-0.30983353226588645,0.014791913357184161,0.17599034864574797,0.003038650673891861,0.002695179429322521,0.020939616298882253,9.418371937694155E-5,8.966509669961513E-5,0.0013706036810592875,0.7633517350964061,0.004203072709366484,0.033575711881108194,-18.909894207948028,0.056902559990863466,0.14540951355426657,13.392581232307613
13266_NEP-1,260.7635100508166,65.78838660324696,NEP-1,1.109946984327873,2.8321592185419484,0.3166355330417274,28.52228082689946,1.0,true,,,,,false,9.741732,2.0231748,3.5514274,28.887491,1.1963949227768558,true,24.891287,2.4891286,9.778294,28.922115,1.0,true,17.71209,2.1187584,6.5612736,28.837372,1.0,true,21.603148,2.1603148,9.637506,29.021294,1.0,true,22.94823,2.294823,17.263302,29.663612,1.0,true,,,,,0.0,false,23.523796,2.3523796,15.846078,29.631212,1.0,true,16.50028,2.0718873,5.4762692,28.86166,1.0,true,24.057016,2.4057016,11.263558,29.235659,1.0,true,6.501656,0.06297302,0.21358347,9.961105,0.9991182164275716,1.5577614,0.07888341,0.21240616,15.230019,-18.907799470470202,0.1200961657098425,0.11039824473189697,1.8804212943134377,0.22622667959662968,0.16914834246671018,-2.6903475752173067,0.37456801058413314,0.4172905547224053,false,true,true,true,8.053742720355892,0.2953496265025599,0.27343945285633176,6.5233301931429,0.11627298413910037,0.08256283070769044,0.9590163641099225,0.3002826130881667,0.231701794346179,1.7808642009844724,0.6530777168682618,0.6072049309418248,0.0668420963623177,0.045889627020385154,0.1179286668210057,-2.318454640979544,0.17289064227060713,0.15322495141253922,0.1317164415857071,0.12942775461484227,0.12340801318106587,5.547228769422913E-4,5.45276696552515E-4,0.06698240813993334,0.005751524312890055,0.09408823930386291,0.10705620842344814,-18.898020547835433,0.08790940702025196,0.10461189025521378,6.695087982913655,8.09872993607495,0.7163612801968311,0.29457119900474815,6.501656,0.9189641741817826,0.667873929583775,0.16926151711572934,1.5850867251175838,0.6001105080864376,0.607781311668492,0.08205227603171526,0.07552105832691189,0.15193911671338167,-2.3501737029296885,0.168060422759146,0.14968241524769788,0.051425308511294426,0.050365106970938725,0.15269390482763026,2.801242071916564E-4,2.701944014572332E-4,0.011893242525248171,0.015570898422598844,0.13605373119106695,0.11711580759884452,-18.90615045588186,0.06929708274304502,0.07877969967819354,6.550113657731528
4168_CEERSP4,214.79533234092997,52.790459332223904,CEERSP4,-0.6854820994543352,3.2882276970648987,2.773563522288879E-28,28.360170281348985,1.1067400128546665,true,2.6756698331746467,3.6592686350450547,0.5762815721509305,28.2440892562092,true,,,,,0.0,false,25.33158,2.5331578,9.391051,28.859205,1.1067400128546665,true,20.068037,2.1246107,7.4135346,28.834377,1.290693945164986,true,13.976489,1.9656398,5.67354,28.918816,1.276530490815121,true,18.7828,1.8782802,7.849204,29.02534,1.0,true,,,,,0.0,false,39.417614,3.9417615,17.537449,29.180866,1.0,true,4.6460824,3.1770282,1.0056006,28.397522,1.0,true,18.885534,2.0201552,6.4260597,28.889112,1.0,true,6.502389,0.042470932,0.20321369,11.134527,0.9999999676841542,5.958751,-0.011537552,0.13300657,-1.0,-18.965050736609896,0.12200605959307609,0.1077432547426902,1.9277327967210027,0.20906718522223988,0.19992524584058935,-2.9926860855206696,0.3825888366719665,0.3793570734157874,false,true,true,true,7.226687774137071,0.03592372680619249,0.051189815788820425,6.386754026465146,0.1242624970201307,0.11176212759442006,0.17200985584657524,0.014536820275260015,0.022837343303751978,1.6790716428942507,0.13127799270791796,0.14423505909215018,0.002465965093108013,4.8594068216889757E-4,0.0012779358373035642,-2.449084735293897,0.04641368440379434,0.0435337782471934,0.0030631175931181403,0.002777557682544225,0.02713893729101799,0.2307836416010619,0.06089111904336725,0.08851453558592554,0.2382454642380658,0.13365757181370547,0.08450708998404288,-18.80848060342594,0.06158332518856824,0.0708184557850764,5.040491459479226,7.232643402439145,0.03213408031544063,0.03997743362875639,6.502389,0.1911424516467837,0.012824760559722426,0.01665164230149105,1.8977152709248102,0.12500352381440272,0.15838467249695798,0.0016110758859468003,4.170442146357845E-4,8.443454605486403E-4,-2.440449025328267,0.04889068883447534,0.04724576360299926,0.0030506031666324646,0.0027673067714121024,0.02403899408626665,0.22172114441795046,0.06542578842522581,0.13513000674168255,0.25391754182894566,0.14566581173188325,0.10356493666536204,-18.82536789530057,0.05794874206829448,0.07043625206803483,5.0628816300999
23488_JADES-Deep-GS,53.16617692214232,-27.764353598522266,JADES-Deep-GS,-0.041850645949100575,0.4374544110712928,2.084813448611634E-27,30.550242988917304,1.1150735375943759,true,,,,,false,3.128166,0.74746555,3.086731,29.968597,1.1150735375943759,true,8.02345,0.802345,7.7559214,29.899755,1.0,true,7.079958,0.9343438,5.9473534,29.726309,1.0,true,5.0517583,0.8077133,4.9905143,29.884432,1.0,true,8.240407,0.82404065,11.685107,30.351887,1.0,true,6.174311,0.85870624,4.948848,29.817963,1.0,true,11.031001,1.1031001,15.541169,30.432348,1.0,true,4.1456366,0.6959531,4.0961037,30.046125,1.0,true,7.9084625,0.7908462,8.122135,30.08852,1.0,true,6.503037,0.043316364,0.14090872,6.6862297,1.0,5.958751,-0.014964581,1.2091541,-1.0,-17.709816682238323,0.12183448714505474,0.10891490505396462,0.6397017804199661,0.09768689489560067,0.05862954661267439,-2.6807166419631847,0.3646876972298374,0.3786823946731772,false,true,true,true,6.919669910026082,0.12544977460840734,0.23868676662986488,6.46735300575485,0.10819210810102753,0.08923997865658517,0.08833244191363021,0.02412203585483423,0.07697314406893624,0.63099560657579,0.07150379626399783,0.13398846723298707,0.006249906065939507,0.002867605026869943,0.012875808402189555,-2.345824296640785,0.09206036579095622,0.13338456168203683,0.06942829086502236,0.0678566175919323,0.11434846158570883,0.19605779258816286,0.06972040006753319,0.09574832777645115,-0.062245172003022375,0.1611561833552733,0.1543060579941427,-17.659278314538383,0.07864449112437555,0.09515695897903953,3.6688998472461867,6.85704698604074,0.08650758247468548,0.15426462427261267,6.503037,0.08327341557078458,0.014394480923707202,0.034567887314936374,0.7198675480734666,0.07515667792671354,0.13618210681949172,0.0040962345758873905,0.0017211780691127826,0.004953450838115039,-2.332854896596391,0.07682061924531913,0.13422844527305688,0.05398287741604263,0.052262059874437716,0.11848088909462343,0.17632524579746825,0.07123174688400005,0.09965661977456433,-0.07639323190731329,0.17662240100060234,0.16529353023674806,-17.685159219938512,0.06556053645830673,0.08917768645201463,3.7427600630283813
12137_JADES-Deep-GS,53.18464372049055,-27.77929997062212,JADES-Deep-GS,-0.06689429343436837,0.4270159074549542,2.1357772004128934E-27,30.576464854341975,1.0,true,,,,,false,9.544804,1.3134383,5.3599095,29.35655,1.0,true,18.165228,1.8165227,14.421622,29.686008,1.0,true,18.074032,1.8074031,13.153783,29.570564,1.342596735028884,true,16.556726,1.6556726,13.255351,29.656218,1.3182808092296114,true,13.979609,1.3979609,12.531041,29.853907,1.3850331381947185,true,9.352677,1.1465046,5.6146193,29.504135,1.7361657572406957,true,15.860859,1.5860859,17.175426,30.146627,1.2086891405555236,true,6.758545,1.2504683,3.7165513,29.409893,1.9102126354230957,true,10.539677,1.0539677,7.9119005,29.748209,1.5963428909546393,true,6.5031347,0.054501057,0.10763168,6.0929523,1.0,5.958751,-0.0059480667,0.05359125,-1.0,-18.572641666854516,0.10303249661965452,0.11163758449739802,1.4839611459111375,0.4708254820258235,0.14485242885739313,-2.1151474139410142,0.2891115336704466,0.2889881382006898,false,true,true,true,7.179106782329102,0.06137475517402802,0.12285281175316953,6.496651521711669,0.0871556851689137,0.07313819799455601,0.16014166208325686,0.024723372637282692,0.06072364119616522,1.3582897568369035,0.0988386831139354,0.1109890062634522,0.004807799649217535,0.0022101567543019226,0.0055282266079655085,-2.4688293232426277,0.03999744226784019,0.04268142876703784,0.0021803840597543825,0.0018932474021229532,0.017777791862959955,1.1288651853902194,0.35733225102619837,0.37463900445295417,-0.20809243248255083,0.10746431093273207,0.1386323066505296,-18.619207768813567,0.06137775398291012,0.06543139988764324,2.475051088178639,7.35806888249026,0.04580583678626482,0.07161794015656842,6.5031347,0.14793381531405142,0.016200872281356637,0.033724049512375315,1.3738031769613241,0.09569168797154548,0.11363196003142528,0.0033375691619271326,0.0012298023644782318,0.003170077400556464,-2.465767541658896,0.04076699701143793,0.04010587116934872,0.0020092623267001846,0.001728293595658483,0.021452718113208497,1.2252541410500477,0.31696289582121673,0.3175972406740395,-0.2231222514773492,0.09282125356336579,0.10320933432118398,-18.640391164097647,0.06182305361402385,0.06063417194827636,2.2609828325873096
5743_CEERSP10,214.8384614555486,52.778772808266474,CEERSP10,-5.4190143870901375,2.9543281551054594,3.087032961385298E-28,28.4764281557315,1.1346549651982494,true,0.21130065980478957,3.285670802344053,0.05068428309112589,28.36101486795476,true,,,,,0.0,false,22.800114,2.2800112,10.380847,29.082315,1.1346549651982494,true,28.564104,2.8564105,8.089354,28.545809,1.2559136740163157,true,27.830433,2.7830434,9.168513,28.692122,1.154351924392738,true,37.397762,3.7397761,16.74666,29.100382,1.0,true,,,,,0.0,false,57.461662,5.746166,24.129738,29.11811,1.0,true,28.703995,2.9320483,6.731794,28.484648,1.0312418215934598,true,41.92716,4.192716,12.1929865,28.71861,1.043699482639872,true,6.5037293,0.05273056,0.25342035,13.647779,0.9999997546981573,5.958751,-0.011373043,0.11424494,-1.0,-18.815900779622734,0.10621516063425673,0.1019392370117238,6.524904530210994,3.835834012696165,2.0686822883554044,-1.512023520240148,0.2980907212220152,0.2549406268164023,false,true,true,true,8.127536018878079,0.16508309710109614,0.17279316342441575,6.484975980849773,0.19083076799475673,0.12878452717241995,1.5202778042379634,0.5228759515845576,0.6766088716668661,6.6163666469178155,1.6605568178971861,1.9504607524268716,0.01598488338848016,0.010142277367523989,0.021912209943742506,-1.7438097942253177,0.12405832663895322,0.14205266220297585,0.5949500177117257,0.10269616061002657,0.10884554749459496,0.3281807058908504,0.2396135965165829,0.33919495974176234,0.24322440231343112,0.13851578475380721,0.11454527539221432,-18.87905999706806,0.09613831675794415,0.08348007999298446,4.472921289026595,8.11922021269401,0.1534221981462105,0.16563605019741168,6.5037293,1.587836039365784,0.4427505888530008,0.6877290587388041,7.379546281566776,1.249531742757945,2.16640108370295,0.013670751381765722,0.00683861254656941,0.017733822519872638,-1.7506431840848764,0.11717941590973546,0.13648891057015033,0.5859598583101109,0.09540714524777644,0.11870414361308723,0.35486565392926706,0.21607348331931153,0.3634480082708782,0.21804559274194224,0.13929898384399161,0.13453287606594172,-18.88798274187495,0.08534730800659318,0.07489639391471314,4.483812680837336
4530_CEERSP8,215.0579779855445,52.9168772325112,CEERSP8,5.735609825484605,3.3566330810529736,1.38054576812039,28.337815313120004,1.0,true,0.3094821652957008,2.904982966149133,0.08396311450765939,28.494716013720264,true,,,,,0.0,false,11.829618,1.759662,5.175369,29.039001,1.0,true,14.321826,1.984761,5.6635666,28.908304,1.0,true,10.397027,2.149803,3.858962,28.821579,1.5250193055399963,true,10.785534,1.5682037,5.1215196,29.164068,1.1241472142826037,true,,,,,0.0,false,12.5329895,1.282173,6.715338,29.382708,1.0,true,1.7539129,2.673656,0.45108885,28.58481,1.2548656066634767,true,8.371625,2.1721466,2.6492372,28.810352,1.0,true,6.50496,0.040690422,0.4358096,8.387137,0.9989926781775132,5.958751,-0.029614449,4.5952296,-1.0,-18.12911056074895,0.16862013870575154,0.14780227592789785,2.685367384522589,2.4657324905955633,1.335861669365084,-1.8743260619030524,0.4162366995481881,0.41847435223890006,false,true,true,true,7.30087155782463,0.2530676358453583,0.30655899429679767,6.5073048516405105,0.26940892782176284,0.18015147204268,0.23117417273272586,0.11193994950695116,0.18219117693686085,0.8573993929604897,0.13633322298101958,0.12052334295670852,0.02031894332900755,0.014035072260467994,0.03612722956042737,-2.4613253020212165,0.06185910954689566,0.08974113999982336,0.003806819749719861,0.003463014176077025,0.030485690317364863,0.07833266917607276,0.07741054474706954,0.6097839946410187,-0.08858354829067139,0.11818772220792872,0.1398462509269518,-18.235513517789443,0.12071175644118526,0.12425377397180526,7.695665824000534,7.100163389572705,0.14367279007995748,0.32969563201465135,6.50496,0.1357589443130136,0.04238407077525383,0.1767691810393316,0.8958234024497236,0.1016824394415522,0.09646337548830475,0.0086699061997716,0.0055846306636875565,0.023666820160211828,-2.4430748998682494,0.0641312720638445,0.10844029044315873,0.003480072043184761,0.0030857602659868713,0.030212311203830527,0.11065594893557938,0.09474973848644153,0.7871579935937524,-0.11610989917215075,0.15749080365943907,0.12985474515574785,-18.224349264099754,0.09183646356566655,0.09831970061224382,6.58881398381535
16783_NEP-2,260.76476039290077,65.86070172259116,NEP-2,-2.0140580600318048,2.844740360891576,3.2059545816338624E-28,28.517468402822306,1.0,true,,,,,false,14.966226,3.3091683,3.3357508,28.353277,1.189847259281134,true,25.771599,3.1280155,6.342673,28.414402,1.0,true,24.362892,3.4762692,5.500665,28.299791,1.0,true,18.135607,2.7533207,5.2557573,28.552933,1.0864703876905621,true,26.461498,2.6461496,13.759604,29.262655,1.0,true,,,,,0.0,false,47.55079,4.755079,23.171001,29.279642,1.0,true,7.0043955,3.356605,1.4349277,28.337824,2.5528517179651113,true,22.302708,2.4343457,6.2976055,28.686619,1.2071476627491,true,6.5052366,0.04477787,0.1843481,13.212739,0.9999999996010479,5.958751,-0.008714676,0.097167015,-1.0,-18.96776657297607,0.15095067789138028,0.13159824962756872,2.0664192170041744,0.4175672595372961,0.23149949979556372,-2.4486578958200127,0.4166683245463121,0.42320658609979267,false,true,true,true,7.297146652870891,0.03898104841115746,0.05741263900339977,6.411519995783891,0.11359100173533321,0.10412372357168653,0.20216029821200543,0.018421539467336906,0.03018517990311284,1.9812902797099752,0.1583981555482299,0.21964675358206343,0.0023671569322998394,4.05169479933232E-4,0.0010347271231448772,-2.4188012227429896,0.035965269480795925,0.054599315223739175,0.005803300865260033,0.005406440856863287,0.05232566993122701,0.24940841274491493,0.06343626116407033,0.11246341806839799,0.1374409388825084,0.16171645517252056,0.12138503813477208,-18.99425144836059,0.06792313397911798,0.08209722365854333,3.504215152149548,7.379863196138384,0.029776512098649732,0.04487419702139839,6.5052366,0.20058231991474454,0.013655156559498421,0.02237008501308868,1.994946621016944,0.13410468576045487,0.20567090460662896,0.0015684843052208345,3.747408881839521E-4,7.878366292635914E-4,-2.420103125602143,0.03694084368387074,0.04648465081090469,0.0033121886441585795,0.0029944653239056596,0.03064666782048965,0.30319661780232243,0.1150292795850788,0.16633738108793378,0.08420421234147302,0.16111808941087075,0.14796819690024657,-19.013793887895396,0.059042841766007825,0.07054010709029868,2.332274754228418
15297_JADES-Deep-GS,53.16237655522162,-27.80329972144393,JADES-Deep-GS,-0.4760070569593652,0.5406298970304715,1.6869411853938036E-27,30.32032484248488,1.0,true,,,,,false,2.6022406,1.2222174,1.5703596,29.434704,1.0,true,6.0456204,0.9228499,5.04324,29.739748,1.0,true,7.431641,0.930261,6.270176,29.731062,1.0,true,5.1314254,1.0415032,3.931311,29.608423,1.0,true,8.957781,0.8957781,12.104643,30.299555,1.0,true,10.830571,1.083057,9.396845,29.904001,1.0,true,17.963306,1.7963308,25.149664,30.42554,1.0,true,6.9411645,0.93848664,5.085854,29.721504,1.1722181510249803,true,10.8067,1.08067,10.456295,30.023787,1.0,true,6.5053787,0.04019642,0.2784648,14.302798,0.9999999998762106,5.958751,-0.026067257,0.21322918,-1.0,-17.402145415591406,0.15238870592150988,0.14726723892738036,0.6234952452667477,0.5223987153456475,0.13115524651365656,-1.8765380988168916,0.38935686206776077,0.4209438942885724,false,true,true,true,7.422015266901219,0.13923077093160874,0.185635090574352,6.254401203441908,0.06140469862730047,0.257152926907545,0.2885437028743674,0.08463594609793135,0.1699007474416263,1.7346324384351945,0.32642262239333664,0.45148496816390904,0.009373494339327786,0.00469620496835841,0.012686860218451912,-1.758365205795762,0.1231260696852079,0.14000515102312994,0.6003720823515359,0.10047895649080807,0.1260677606804661,0.23468177485319203,0.06660271456243946,0.13893069122314605,0.4177756656577296,0.11018016600056041,0.08753516362132507,-17.34343778482736,0.12275822880881648,0.12732311810011865,4.740219689655492,7.758101082814379,0.256573768740993,0.46612010437788953,6.5053787,0.36599346822940215,0.0778685034856671,0.20969782028346617,1.2654036919384972,0.9671012630081177,0.7375972278228082,0.047132524210841055,0.03444485150549183,0.35763880025448247,-1.87321401969428,0.43886898591760604,0.17206342872982594,0.4948630049866129,0.49251410728326733,0.1594107452576375,0.22119769698598374,0.1215578524144954,0.1233915372528554,0.4113784928171329,0.08937522584311663,0.07893879349013783,-17.453679638200928,0.12525894898481482,0.10852759781635157,8.371560578306726
