B+10,,R+13,,M+17,,Guo+10,,W&J10,,K+18,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.843164188752423,-2.553715170278637,11.244066857512234,-2.2909663865546213,10.464285714285714,-3.6889952153110044,10.92914325493511,-2.439616771654161,10.955617911500264,-2.3551155432620554,10.158855850032321,-3.043122512162759
10.924612152553328,-2.5157352250110563,11.394246929541048,-2.1196207430340555,10.56027795733678,-3.518329580636082,11.030058177116999,-2.290131578947368,11.111115928547779,-2.2127727944697004,10.356811145510836,-2.8977106077888215
10.99224305106658,-2.4218266253869967,11.553728778960975,-1.973989734397914,10.647543632837749,-3.369630417956656,11.07950872656755,-2.122871517027863,11.23625130525583,-2.0501378888253425,10.5359354268023,-2.7723236108847966
11.044602456367162,-2.348684210526315,11.738823869628822,-1.8247718755092062,10.73480930833872,-3.219110610751477,11.19295410471881,-1.9677963290579388,11.335003232062055,-1.9054571488027483,10.713681829006905,-2.6443702134593448
11.10568842921784,-2.2631578947368416,11.948347608274078,-1.7182662538699687,10.830801551389786,-3.0465451730931603,11.323852617970264,-1.8149187306501544,11.477594205102854,-1.7868119317361313,10.894796380090497,-2.5166369089501823
11.16241111829347,-2.1855816010614766,12.14502262443439,-1.7127321981424144,10.918067226890756,-2.8970588235294112,11.485730446024562,-1.6941217934542236,11.595146203277693,-1.6238001004901819,10.997478991596639,-2.370938819307627
11.2191338073691,-2.109520123839009,12.334337807521198,-1.7353533054088506,11.000969618616676,-2.7572368421052627,11.668552036199095,-1.602393457382953,11.764045618247298,-1.5395575641545016,11.066418875242405,-2.21313262146964
11.275856496444732,-2.038799203892083,12.506302521008402,-1.8019128704113223,11.092598577892694,-2.597241767520405,11.85180995475113,-1.5473206387818284,11.68164188752424,-1.6596085802742147,11.179166127989657,-2.0784984520123837
11.328215901745313,-1.9609398496240598,12.689996767937943,-1.8968556501547984,11.180833872010343,-2.452786377708978,12.035067873303166,-1.5418367346938773,11.943835576188516,-1.5009593883811092,11.299581851971556,-1.925980968045113
